condition,numChecklists
Cloudy,1757.8
Heavy rain,1657.0
Light rain,2380.5
Light rain shower,1742.157894736842
Mist,1672.5
Moderate or heavy rain shower,2044.5
Moderate rain,2621.5
Overcast,2457.1052631578946
Partly cloudy,2366.25
Patchy light rain with thunder,1369.0
Patchy rain possible,1902.6666666666667
Sunny,2326.3529411764707
Thundery outbreaks possible,1373.0
